Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
Brandon Ingram,New Orleans Pelicans,2088,513,1101,143,375,281,320,34,265,296,42,36,154,124,1450,61,23.73
Brian Bowen,Indiana Pacers,15,1,4,0,1,1,1,0,3,0,0,0,0,1,3,6,2.81
Brodric Thomas,Cleveland Cavaliers,376,37,101,15,53,26,39,7,42,26,14,9,18,35,115,28,9.93
Brodric Thomas,Houston Rockets,24,2,7,1,6,5,7,1,3,4,1,1,4,5,10,4,9.8
Brook Lopez,Milwaukee Bucks,1903,322,640,95,281,120,142,104,243,50,40,103,64,149,859,70,18.32
Bruce Brown,Brooklyn Nets,1453,235,423,17,59,86,117,111,238,104,58,28,54,145,573,65,18.85
Bruno Caboclo,Houston Rockets,37,8,17,0,5,1,2,3,11,1,0,2,4,6,17,6,11.76
Bruno Fernando,Atlanta Hawks,228,18,44,0,2,15,22,16,62,10,4,3,21,23,51,33,7.81
Bryn Forbes,Milwaukee Bucks,1358,250,529,154,341,47,61,11,101,45,24,1,44,77,701,70,15.87
Buddy Hield,Sacramento Kings,2439,403,992,282,721,88,104,29,305,257,63,30,130,175,1176,71,16.0
CJ Elleby,Portland Trail Blazers,191,25,66,7,34,11,15,11,21,10,6,3,5,27,68,30,11.17
CJ McCollum,Portland Trail Blazers,1602,405,884,169,420,108,133,30,155,223,44,21,65,87,1087,47,24.16
Caleb Martin,Charlotte Hornets,820,96,256,31,125,41,64,31,110,67,37,12,33,62,264,53,11.97
Cam Reddish,Atlanta Hawks,749,96,263,33,126,67,82,22,82,35,33,9,34,68,292,26,11.56
Cameron Johnson,Phoenix Suns,1437,203,483,117,335,50,59,33,166,86,37,16,40,85,573,60,14.2
Cameron Oliver,Houston Rockets,88,19,33,4,13,1,4,5,16,5,2,4,3,11,43,4,20.41
Cameron Payne,Phoenix Suns,1077,191,395,73,166,50,56,16,128,217,36,16,60,97,505,60,20.53
Cameron Reynolds,Houston Rockets,34,5,16,3,12,0,0,2,3,2,0,0,0,2,13,2,9.15
Cameron Reynolds,San Antonio Spurs,6,1,2,0,0,0,0,0,0,0,0,0,0,0,2,3,7.79
Caris LeVert,Brooklyn Nets,335,87,200,22,63,26,34,10,42,72,13,6,26,20,222,12,23.7
Caris LeVert,Indiana Pacers,1154,272,614,62,195,120,146,23,139,173,53,24,76,85,726,35,22.06
Carmelo Anthony,Portland Trail Blazers,1690,327,777,133,325,137,154,32,182,104,46,38,61,144,924,69,17.26
Carsen Edwards,Boston Celtics,274,47,111,18,63,11,13,3,23,14,7,1,7,25,123,31,12.73
Cassius Stanley,Indiana Pacers,93,13,43,3,13,7,9,8,12,1,1,2,1,14,36,24,8.03
Cassius Winston,Washington Wizards,98,14,33,8,17,5,6,0,9,12,2,1,5,8,41,22,14.03
Cedi Osman,Cleveland Cavaliers,1511,219,586,99,324,76,95,38,163,174,53,9,80,119,613,59,12.91
Chandler Hutchison,Chicago Bulls,63,5,18,1,3,2,2,1,19,4,1,0,5,9,13,7,2.42
Chandler Hutchison,Washington Wizards,283,34,85,7,19,19,23,5,53,13,11,5,15,24,94,18,10.91
Charlie Brown Jr.,Oklahoma City Thunder,151,13,43,5,21,9,10,3,14,9,4,2,6,19,40,9,5.84
Chasson Randle,Orlando Magic,839,92,237,44,130,38,48,7,75,74,22,5,46,64,266,41,9.33
Chimezie Metu,Sacramento Kings,490,91,179,13,37,31,43,31,81,28,14,18,29,59,226,36,17.38
Chris Boucher,Toronto Raptors,1454,288,560,90,235,152,193,117,287,63,35,111,46,166,818,60,25.4
Chris Chiozza,Brooklyn Nets,233,31,88,13,42,13,17,3,21,65,7,6,16,19,88,22,16.03
Chris Paul,Phoenix Suns,2200,439,879,102,258,169,181,25,287,622,99,19,156,166,1149,70,25.01
Chris Silva,Miami Heat,83,9,13,1,1,11,15,7,18,6,1,5,9,20,30,11,15.32
Chris Silva,Sacramento Kings,9,1,3,0,0,0,0,0,2,0,0,1,1,4,2,4,-5.16
Christian Wood,Houston Rockets,1326,329,640,77,206,125,198,76,319,71,34,48,80,88,860,41,24.49
Chuma Okeke,Orlando Magic,1133,135,324,49,141,30,40,42,139,101,48,22,38,48,349,45,13.86
Clint Capela,Atlanta Hawks,1901,413,695,0,0,130,227,297,606,49,44,129,73,145,956,63,27.26
Coby White,Chicago Bulls,2157,375,902,163,454,128,142,28,256,328,38,15,156,179,1041,69,15.35
Cody Martin,Charlotte Hornets,849,83,188,16,58,25,43,52,109,86,37,12,40,52,207,52,12.59
Cody Zeller,Charlotte Hornets,1004,181,324,4,28,85,119,119,209,86,27,17,51,121,451,48,21.38
Cole Anthony,Orlando Magic,1270,219,552,58,172,109,131,38,183,192,30,18,106,98,605,47,15.11
Collin Sexton,Cleveland Cavaliers,2113,525,1105,98,264,312,383,58,129,262,62,10,167,157,1460,60,21.73
Cory Joseph,Detroit Pistons,502,89,176,14,38,36,41,10,50,105,22,9,35,41,228,19,20.44
Cory Joseph,Sacramento Kings,942,111,250,31,94,36,47,25,74,108,39,9,44,98,289,44,12.07
Cristiano Felício,Chicago Bulls,84,7,13,0,2,9,16,10,16,9,4,0,4,10,23,18,16.84
D'Angelo Russell,Minnesota Timberwolves,1197,281,652,120,310,114,149,16,95,244,45,18,112,68,796,42,22.44
D.J. Augustin,Houston Rockets,417,64,151,34,88,49,54,9,35,78,8,0,31,23,211,20,19.14
D.J. Augustin,Milwaukee Bucks,712,71,192,49,129,36,40,11,39,110,20,1,34,33,227,37,12.69
D.J. Wilson,Houston Rockets,332,52,125,20,59,16,23,17,70,20,10,12,18,31,140,23,15.5
D.J. Wilson,Milwaukee Bucks,104,16,43,10,28,1,2,3,22,3,1,4,4,13,43,12,11.32
DaQuan Jeffries,Houston Rockets,260,26,63,11,39,1,1,10,32,16,8,6,6,25,64,13,10.5
DaQuan Jeffries,Sacramento Kings,231,24,57,9,28,6,7,9,20,6,7,4,8,23,63,18,8.91
Dakota Mathias,Philadelphia 76ers,124,19,48,8,26,2,6,1,6,13,1,3,1,7,48,8,12.09
Damian Jones,Los Angeles Lakers,111,16,17,0,0,11,12,8,18,1,1,7,5,22,43,8,19.14
Damian Jones,Phoenix Suns,92,8,16,0,1,6,11,7,11,4,1,5,6,19,22,14,7.93
Damian Jones,Sacramento Kings,340,46,70,1,4,25,35,21,56,24,9,17,15,36,118,17,18.34
Damian Lillard,Portland Trail Blazers,2397,602,1334,275,704,449,484,32,251,505,62,17,203,102,1928,67,29.77
Damion Lee,Golden State Warriors,1081,128,274,77,194,40,44,22,158,73,38,8,30,89,373,57,14.79
Damyean Dotson,Cleveland Cavaliers,910,119,293,46,159,24,36,5,88,91,16,4,42,42,308,46,10.27
Daniel Gafford,Chicago Bulls,389,60,87,0,0,27,41,44,59,17,11,34,22,54,147,31,20.76
Daniel Gafford,Washington Wizards,409,94,138,0,0,45,67,50,78,12,15,41,19,44,233,23,29.77
Daniel Oturu,Los Angeles Clippers,161,22,52,1,5,9,12,21,27,10,4,7,9,24,54,30,14.2
Daniel Theis,Boston Celtics,1024,159,288,33,95,46,67,54,166,67,25,43,41,120,397,42,17.27
Daniel Theis,Chicago Bulls,574,93,178,16,57,28,43,39,97,41,16,14,25,47,230,23,17.65
