Nombre,Equipo,MP,FG,FGA,FG3,FG3A,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,G,PER
J.J. Redick,Dallas Mavericks,146,19,53,15,38,4,5,1,11,11,2,1,11,13,57,13,7.92
J.J. Redick,New Orleans Pelicans,576,87,214,51,140,45,47,3,49,40,9,2,25,37,270,31,13.91
Ja Morant,Memphis Grizzlies,2054,430,957,73,241,271,372,59,193,465,57,13,203,87,1204,63,21.01
JaKarr Sampson,Indiana Pacers,315,56,113,3,15,19,29,27,50,4,2,14,15,52,134,29,13.68
JaMychal Green,Denver Nuggets,1120,173,374,79,198,46,57,85,192,53,26,22,53,144,471,58,16.01
JaVale McGee,Cleveland Cavaliers,501,112,215,5,20,36,55,54,116,33,16,40,45,80,265,33,21.45
JaVale McGee,Denver Nuggets,177,32,67,0,4,8,12,23,46,6,3,14,15,41,72,13,15.0
Jabari Parker,Boston Celtics,139,26,48,2,10,10,13,9,27,10,1,4,7,9,64,10,19.13
Jabari Parker,Sacramento Kings,27,4,7,0,1,0,0,1,5,1,0,1,3,4,8,3,6.75
Jaden McDaniels,Minnesota Timberwolves,1512,164,367,72,198,27,45,52,180,71,35,60,47,172,427,63,11.02
Jae Crowder,Phoenix Suns,1652,199,492,148,380,57,75,32,250,127,48,27,55,125,603,60,14.2
Jae'Sean Tate,Houston Rockets,2039,316,625,60,195,102,147,132,242,178,85,36,98,222,794,70,16.59
Jahlil Okafor,Detroit Pistons,344,63,102,2,9,17,24,23,43,13,6,5,21,39,145,27,15.54
Jahmi'us Ramsey,Sacramento Kings,94,15,38,5,19,5,5,2,8,6,4,1,3,8,40,13,13.19
Jake Layman,Minnesota Timberwolves,625,91,184,23,78,26,37,13,54,28,29,19,26,44,231,45,14.06
Jakob Poeltl,San Antonio Spurs,1848,265,430,0,0,63,124,219,328,134,47,123,83,172,593,69,19.48
Jalen Brunson,Dallas Mavericks,1698,328,627,81,200,120,151,27,204,239,35,1,80,109,857,68,19.87
Jalen Harris,Toronto Raptors,170,36,72,17,36,7,9,3,15,17,8,0,14,15,96,13,18.8
Jalen Lecque,Indiana Pacers,12,1,9,0,1,3,3,2,3,2,0,0,0,0,5,4,8.73
Jalen McDaniels,Charlotte Hornets,905,133,284,35,105,45,64,45,124,53,28,19,45,95,346,47,14.0
Jalen Smith,Phoenix Suns,154,22,50,4,17,5,7,7,30,4,1,5,7,16,53,27,10.69
Jamal Murray,Denver Nuggets,1704,378,792,129,316,133,153,37,157,231,64,13,108,95,1018,48,21.73
James Ennis III,Orlando Magic,985,115,243,45,104,70,87,43,123,62,32,7,36,84,345,41,14.61
James Harden,Brooklyn Nets,1318,282,599,96,262,225,263,30,277,392,46,27,143,85,885,36,30.17
James Harden,Houston Rockets,289,60,135,25,72,53,60,5,36,83,7,6,34,14,198,8,27.66
James Johnson,Dallas Mavericks,504,67,145,15,60,17,29,14,72,50,24,23,27,59,166,29,14.08
James Johnson,New Orleans Pelicans,539,79,182,16,60,28,47,18,73,48,18,19,28,61,202,22,13.19
James Nunnally,New Orleans Pelicans,47,5,13,4,12,1,2,2,7,3,0,0,2,1,15,9,10.86
James Wiseman,Golden State Warriors,836,191,368,12,38,54,86,55,171,26,11,36,60,121,448,39,17.04
Jared Dudley,Los Angeles Lakers,79,2,9,2,6,0,0,4,17,5,1,1,2,7,6,12,5.65
Jared Harper,New York Knicks,15,0,4,0,1,3,4,0,2,1,0,0,3,1,3,8,-10.07
Jaren Jackson Jr.,Memphis Grizzlies,258,53,125,17,60,35,42,17,45,12,12,18,15,42,158,11,22.0
Jarred Vanderbilt,Minnesota Timberwolves,1141,143,236,1,5,57,102,118,250,76,64,46,53,123,344,64,19.0
Jarrell Brantley,Utah Jazz,139,25,52,12,28,2,2,9,18,15,7,2,8,17,64,28,19.24
Jarrett Allen,Brooklyn Nets,318,44,65,0,0,46,61,38,87,20,7,19,22,21,134,12,24.68
Jarrett Allen,Cleveland Cavaliers,1546,254,417,6,19,158,229,158,348,86,25,71,78,75,672,51,22.41
Jarrett Culver,Minnesota Timberwolves,501,69,168,13,53,29,48,34,70,24,17,9,28,58,180,34,11.29
Javonte Green,Boston Celtics,342,39,71,7,22,20,30,20,32,11,18,2,13,32,105,25,13.53
Javonte Green,Chicago Bulls,129,14,31,3,8,10,10,6,13,6,10,4,6,13,41,16,15.07
Jaxson Hayes,New Orleans Pelicans,961,175,280,6,14,93,120,92,165,35,25,38,39,101,449,60,22.15
Jay Scrubb,Los Angeles Clippers,84,14,36,2,9,5,5,2,12,1,4,0,7,5,35,4,8.57
Jaylen Adams,Milwaukee Bucks,19,1,8,0,2,0,0,0,3,2,0,0,0,1,2,7,-4.85
Jaylen Brown,Boston Celtics,2001,538,1111,163,411,191,250,71,276,195,72,32,158,168,1430,58,23.64
Jaylen Hoard,Oklahoma City Thunder,318,44,88,0,11,28,41,21,44,24,13,5,17,19,116,19,15.92
Jaylen Nowell,Minnesota Timberwolves,759,142,335,50,150,45,55,19,76,62,22,12,28,72,379,42,15.88
Jayson Tatum,Boston Celtics,2290,605,1318,187,485,295,340,50,422,276,75,31,171,122,1692,64,25.46
Jeff Green,Brooklyn Nets,1839,261,530,103,250,125,161,34,229,108,36,27,54,122,750,68,15.65
Jeff Teague,Boston Celtics,616,78,188,26,56,51,61,10,47,73,26,7,39,43,233,34,13.59
Jeff Teague,Milwaukee Bucks,335,45,96,10,26,38,44,5,26,59,8,5,25,13,138,21,17.09
Jerami Grant,Detroit Pistons,1829,400,932,115,329,290,343,35,215,152,35,58,109,125,1205,54,20.74
Jeremiah Martin,Cleveland Cavaliers,75,9,33,3,12,1,5,2,5,4,5,2,6,1,22,9,3.36
Jeremy Lamb,Indiana Pacers,763,120,276,52,128,71,75,25,106,53,34,23,22,72,363,36,19.42
Jerome Robinson,Washington Wizards,304,28,95,11,42,16,20,4,34,25,12,6,19,31,83,17,6.14
Jevon Carter,Phoenix Suns,715,94,223,56,151,4,7,16,76,71,29,9,16,56,248,60,14.47
Jimmy Butler,Miami Heat,1745,366,736,25,102,359,416,94,265,369,108,18,109,71,1116,52,30.78
Joe Harris,Brooklyn Nets,2140,357,707,211,444,49,63,43,205,130,46,14,62,141,974,69,16.99
Joe Ingles,Utah Jazz,1867,275,562,183,406,76,90,27,217,318,45,12,117,120,809,67,18.71
Joel Embiid,Philadelphia 76ers,1590,461,899,58,154,471,548,113,426,145,50,69,159,123,1451,51,35.47
John Collins,Atlanta Hawks,1844,429,771,83,208,170,204,118,349,78,34,63,84,193,1111,63,23.83
John Konchar,Memphis Grizzlies,578,69,138,21,56,25,30,35,93,47,30,9,18,40,184,43,17.41
John Wall,Houston Rockets,1288,293,726,79,249,158,211,17,112,275,42,31,141,46,823,40,19.85
Jonas Valančiūnas,Memphis Grizzlies,1757,440,743,21,57,157,203,253,523,112,35,57,100,179,1058,62,28.79
Jontay Porter,Memphis Grizzlies,54,8,15,3,8,3,5,4,10,1,3,1,7,12,22,11,11.57
Jordan Bell,Golden State Warriors,15,0,2,0,0,1,2,1,4,2,0,2,1,2,1,1,7.06
Jordan Bell,Washington Wizards,67,7,20,0,2,0,0,6,13,5,3,3,3,5,14,5,10.8
Jordan Bone,Orlando Magic,197,23,54,10,32,0,0,4,20,18,2,0,3,11,56,14,10.72
Jordan Clarkson,Utah Jazz,1816,457,1075,208,599,129,144,47,227,168,61,10,115,110,1251,68,21.01
Jordan McLaughlin,Minnesota Timberwolves,942,100,242,33,92,23,30,21,87,193,51,6,51,44,256,51,14.8
Jordan Nwora,Milwaukee Bucks,274,62,135,28,62,19,25,9,51,7,16,7,24,22,171,30,20.06
Jordan Poole,Golden State Warriors,987,205,474,97,276,105,119,15,77,99,26,9,51,86,612,51,19.66
Josh Green,Dallas Mavericks,447,42,93,4,25,13,23,28,50,28,16,3,17,35,101,39,10.05
Josh Hall,Oklahoma City Thunder,336,30,99,4,37,22,44,6,53,28,4,1,25,37,86,21,2.76
Josh Hart,New Orleans Pelicans,1351,151,344,63,193,69,89,53,324,109,38,12,49,111,434,47,14.87
Josh Jackson,Detroit Pistons,1562,296,707,77,257,159,218,57,197,143,53,47,142,178,828,62,15.14
Josh Okogie,Minnesota Timberwolves,1196,102,254,29,108,83,108,63,93,63,54,28,43,123,316,59,11.11
Josh Richardson,Dallas Mavericks,1787,264,618,88,267,99,108,51,144,153,61,24,79,130,715,59,13.98
Jrue Holiday,Milwaukee Bucks,1905,414,823,111,283,107,136,73,195,357,96,37,127,98,1046,59,24.1
Juan Toscano-Anderson,Golden State Warriors,1108,121,209,37,92,22,31,29,205,150,41,26,61,111,301,53,15.43
Juancho Hernangómez,Minnesota Timberwolves,899,130,299,55,168,60,97,45,160,35,19,7,27,52,375,52,15.28
Julius Randle,New York Knicks,2666,602,1321,160,389,348,429,84,639,427,64,18,241,225,1712,71,22.99
Justin Holiday,Indiana Pacers,2181,258,625,173,453,67,85,32,224,119,74,41,54,135,756,72,13.09
Justin Jackson,Milwaukee Bucks,33,3,9,2,6,1,2,2,4,1,0,0,1,1,9,1,7.69
Justin Jackson,Oklahoma City Thunder,544,86,212,34,111,30,35,14,57,51,15,2,31,31,236,33,13.52
Justin James,Sacramento Kings,313,52,111,14,38,21,36,9,21,22,8,3,15,23,139,36,13.84
Justin Patton,Houston Rockets,245,29,70,9,34,3,4,14,35,14,12,14,4,34,70,13,13.94
Justin Robinson,Oklahoma City Thunder,88,7,21,4,14,3,5,1,6,9,3,0,2,10,21,9,7.75
Justise Winslow,Memphis Grizzlies,511,74,210,10,54,20,35,18,100,50,15,12,37,47,178,26,8.94
Jusuf Nurkić,Portland Trail Blazers,881,171,333,12,30,70,113,86,246,125,38,39,73,103,424,37,23.35
Juwan Morgan,Utah Jazz,148,14,30,4,13,3,7,9,19,9,4,1,4,21,35,29,9.9
KZ Okpala,Miami Heat,443,36,96,12,50,8,15,21,47,19,10,11,15,59,92,37,6.59
Karim Mané,Orlando Magic,89,3,13,1,2,4,5,1,13,4,0,2,3,10,11,10,2.23
Karl-Anthony Towns,Minnesota Timberwolves,1688,425,875,122,315,267,311,133,396,225,39,57,160,186,1239,50,28.54
Kawhi Leonard,Los Angeles Clippers,1771,465,908,101,254,261,295,55,282,269,81,21,105,82,1292,52,29.99
Keita Bates-Diop,San Antonio Spurs,245,30,67,5,17,14,21,9,40,12,11,5,7,11,79,30,14.21
Kelan Martin,Indiana Pacers,324,62,138,24,60,9,10,18,60,17,10,10,16,35,157,35,17.4
Keldon Johnson,San Antonio Spurs,1971,338,705,60,181,145,196,93,319,121,40,24,78,142,881,69,16.5
Keljin Blevins,Portland Trail Blazers,75,5,20,2,8,0,0,3,7,4,2,0,5,8,12,17,0.07
Kelly Olynyk,Houston Rockets,838,175,321,49,125,114,135,43,185,112,39,16,71,84,513,27,26.87
Kelly Olynyk,Miami Heat,1159,162,376,77,243,31,40,44,217,91,40,26,55,123,432,43,14.63
Kelly Oubre Jr.,Golden State Warriors,1688,318,724,90,285,123,177,82,247,73,57,42,70,121,849,55,17.17
Kemba Walker,Boston Celtics,1368,284,676,127,353,134,149,16,154,212,48,12,88,61,829,43,21.27
Kendrick Nunn,Miami Heat,1651,319,658,122,320,56,60,21,158,148,52,14,80,108,816,56,17.23
Kenrich Williams,Oklahoma City Thunder,1428,219,411,52,117,36,63,84,189,152,55,17,76,143,526,66,16.49
Kent Bazemore,Golden State Warriors,1334,176,392,75,184,54,78,26,203,108,69,33,82,158,481,67,13.65
Kentavious Caldwell-Pope,Los Angeles Lakers,1900,218,506,120,293,97,112,27,152,127,62,26,66,114,653,67,12.86
Kenyon Martin Jr.,Houston Rockets,1066,162,318,35,96,60,84,73,169,48,30,41,38,89,419,45,17.45
Kevin Durant,Brooklyn Nets,1157,324,603,85,189,210,238,13,234,195,25,45,120,70,943,35,31.75
Kevin Huerter,Atlanta Hawks,2126,316,731,140,386,50,64,38,193,241,82,18,79,165,822,69,14.54
Kevin Knox,New York Knicks,464,56,143,35,89,16,20,10,51,19,12,6,17,37,163,42,10.8
Kevin Love,Cleveland Cavaliers,624,103,252,57,156,42,51,17,169,63,16,2,38,26,305,25,18.48
Kevin Porter Jr.,Houston Rockets,838,156,367,50,161,69,94,20,79,164,19,8,91,61,431,26,16.07
Kevon Looney,Golden State Warriors,1163,108,197,4,17,31,48,117,205,119,21,22,37,136,251,61,14.19
Khem Birch,Orlando Magic,954,94,209,4,21,63,85,117,126,53,32,28,23,67,255,48,15.72
Khem Birch,Toronto Raptors,577,95,171,9,31,28,44,57,87,36,16,22,21,46,227,19,19.42
Khris Middleton,Milwaukee Bucks,2266,511,1074,151,365,212,236,54,352,370,74,9,178,160,1385,68,22.61
Khyri Thomas,Houston Rockets,153,32,66,9,27,9,9,7,11,25,9,6,6,8,82,5,25.27
Killian Hayes,Detroit Pistons,670,71,201,20,72,14,17,6,63,138,27,10,83,57,176,26,7.43
Killian Tillie,Memphis Grizzlies,183,19,57,10,33,9,11,6,18,8,5,8,2,20,57,18,10.66
Kira Lewis Jr.,New Orleans Pelicans,907,130,337,40,120,43,51,12,59,124,38,10,34,88,343,54,12.92
Kostas Antetokounmpo,Los Angeles Lakers,56,3,10,0,0,6,13,4,15,1,2,4,11,8,12,15,1.25
Kris Dunn,Atlanta Hawks,46,1,12,0,2,3,4,0,6,2,2,2,3,10,5,4,-4.66
Kristaps Porziņģis,Dallas Mavericks,1325,325,683,97,258,118,138,82,299,68,20,58,51,115,865,43,24.63
Kyle Anderson,Memphis Grizzlies,1891,308,658,94,261,144,184,52,344,250,84,57,86,120,854,69,20.83
Kyle Guy,Sacramento Kings,235,29,88,13,46,16,20,5,30,32,6,0,11,20,87,31,11.3
Kyle Kuzma,Los Angeles Lakers,1953,335,757,137,380,67,97,108,309,127,35,41,113,121,874,68,15.55
Kyle Lowry,Toronto Raptors,1604,260,596,131,331,140,160,35,212,338,45,14,126,143,791,46,19.98
Kyrie Irving,Brooklyn Nets,1887,549,1086,152,378,201,218,52,205,324,76,37,130,140,1451,54,29.4
LaMarcus Aldridge,Brooklyn Nets,131,25,48,4,5,10,10,2,22,13,3,11,7,11,64,5,21.38
LaMarcus Aldridge,San Antonio Spurs,542,115,248,27,75,31,37,17,77,36,8,18,20,36,288,21,18.24
LaMelo Ball,Charlotte Hornets,1466,293,672,92,261,125,165,63,239,313,81,18,145,136,803,51,21.75
Lamar Stevens,Cleveland Cavaliers,501,62,136,4,25,37,51,24,72,25,17,13,23,53,165,40,12.43
Landry Shamet,Brooklyn Nets,1396,186,456,129,333,66,78,11,101,99,31,10,48,93,567,61,13.0
Langston Galloway,Phoenix Suns,436,66,147,36,85,22,23,7,35,26,8,0,13,25,190,40,14.59
Larry Nance Jr.,Cleveland Cavaliers,1094,128,272,41,114,30,49,54,181,107,61,17,55,72,327,35,15.3
Lauri Markkanen,Chicago Bulls,1318,250,521,119,296,76,92,35,233,45,26,15,52,75,695,51,18.6
LeBron James,Los Angeles Lakers,1498,422,823,104,285,178,255,29,317,350,48,25,168,70,1126,45,29.34
Lonnie Walker IV,San Antonio Spurs,1521,256,609,100,282,57,70,14,141,101,29,15,65,101,669,60,12.35
Lonzo Ball,New Orleans Pelicans,1745,290,700,172,455,50,64,33,230,316,82,31,123,103,802,55,18.73
Lou Williams,Atlanta Hawks,503,84,216,24,54,47,54,6,44,81,8,2,42,20,239,24,13.8
Lou Williams,Los Angeles Clippers,915,181,430,45,119,103,119,15,73,144,39,4,66,42,510,42,18.86
Louis King,Sacramento Kings,85,17,34,4,11,6,6,5,13,9,7,3,4,9,44,6,24.78
Luguentz Dort,Oklahoma City Thunder,1548,247,639,113,329,122,164,38,151,88,45,19,79,134,729,52,12.89
Luka Dončić,Dallas Mavericks,2261,647,1351,192,548,344,471,54,473,567,64,36,281,152,1830,66,29.78
Luka Šamanić,San Antonio Spurs,311,47,105,12,43,16,29,16,52,15,8,8,20,43,122,33,11.94
Luke Kennard,Los Angeles Clippers,1230,197,414,100,224,26,31,15,146,104,23,9,48,91,520,63,15.04
Luke Kornet,Boston Celtics,251,35,74,9,36,1,2,13,39,20,2,25,6,19,80,18,16.68
Luke Kornet,Chicago Bulls,94,9,27,6,23,2,4,1,14,4,2,7,1,1,26,13,11.99
Malachi Flynn,Toronto Raptors,927,127,340,54,168,45,56,10,106,137,38,7,43,68,353,47,13.79
Malcolm Brogdon,Indiana Pacers,1933,444,980,145,374,153,177,58,236,329,49,15,115,110,1186,56,22.57
Malik Beasley,Minnesota Timberwolves,1213,264,600,128,321,68,80,28,134,88,30,7,60,62,724,37,18.79
Malik Fitts,Los Angeles Clippers,11,1,3,1,2,0,0,0,3,0,0,0,0,3,3,3,4.72
Malik Monk,Charlotte Hornets,880,173,399,85,212,59,72,14,87,87,19,4,55,47,490,42,17.23
Mamadi Diakite,Milwaukee Bucks,139,16,40,1,8,11,14,8,26,8,7,6,3,16,44,14,15.04
Marc Gasol,Los Angeles Lakers,993,88,194,50,122,36,50,38,177,109,26,58,53,115,262,52,14.21
Marcus Morris,Los Angeles Clippers,1502,276,584,140,296,73,89,35,199,58,34,15,57,117,765,57,17.07
Marcus Smart,Boston Celtics,1580,203,510,93,282,128,162,36,131,273,72,23,96,126,627,48,16.32
Markelle Fultz,Orlando Magic,215,41,104,4,16,17,19,5,20,43,8,2,18,18,103,8,15.01
Markieff Morris,Los Angeles Lakers,1201,153,378,65,209,36,50,48,218,73,22,19,54,105,407,61,11.6
Markus Howard,Denver Nuggets,205,40,106,18,65,7,9,1,20,18,4,1,18,23,105,37,9.35
Marques Bolden,Cleveland Cavaliers,29,1,3,0,0,5,8,3,3,0,2,2,2,0,7,6,14.54
Marquese Chriss,Golden State Warriors,26,5,14,1,5,2,4,3,10,2,0,2,2,3,13,2,16.74
Marvin Bagley III,Sacramento Kings,1111,247,490,37,108,77,134,106,212,43,21,21,59,100,608,43,19.71
Mason Jones,Houston Rockets,308,47,114,23,64,35,57,4,47,39,6,1,28,22,152,26,14.53
Mason Jones,Philadelphia 76ers,27,5,9,1,2,5,7,3,1,3,1,0,1,2,16,6,26.69
Mason Plumlee,Detroit Pistons,1497,234,381,0,7,113,169,145,374,202,43,50,105,186,581,56,21.46
Matisse Thybulle,Philadelphia 76ers,1297,102,243,43,143,8,18,30,94,63,105,71,32,127,255,65,11.5
Matt Thomas,Toronto Raptors,191,24,62,17,41,6,7,3,18,9,2,0,6,10,71,26,10.58
Matt Thomas,Utah Jazz,133,26,65,10,39,6,7,4,19,10,2,0,8,8,68,19,13.58
Matthew Dellavedova,Cleveland Cavaliers,224,14,56,4,25,4,4,6,18,58,4,1,6,21,36,13,9.08
Maurice Harkless,Miami Heat,123,5,13,5,11,0,2,2,11,7,2,4,3,14,15,11,5.53
Maurice Harkless,Sacramento Kings,650,64,152,18,73,33,41,11,65,37,28,16,19,72,179,26,10.63
Max Strus,Miami Heat,508,85,187,50,148,16,24,5,36,24,11,2,8,43,236,39,14.84
Maxi Kleber,Dallas Mavericks,1339,116,275,87,212,34,37,47,213,68,24,35,30,105,353,50,12.21
Meyers Leonard,Miami Heat,30,3,7,3,7,1,2,0,7,2,0,0,2,5,10,3,8.72
Mfiondu Kabengele,Cleveland Cavaliers,185,24,57,9,32,11,14,11,35,12,6,10,9,18,68,16,16.07
Mfiondu Kabengele,Los Angeles Clippers,96,9,32,4,18,5,6,1,13,5,2,3,6,18,27,23,3.02
Michael Carter-Williams,Orlando Magic,801,105,270,15,61,49,80,39,100,129,25,17,69,81,274,31,11.71
Michael Porter Jr.,Denver Nuggets,1918,443,817,170,382,106,134,91,354,70,40,54,77,126,1162,61,23.86
Mikal Bridges,Phoenix Suns,2353,363,669,134,315,110,131,76,233,152,76,63,57,116,970,72,18.72
Mike Conley,Utah Jazz,1495,284,640,138,335,121,142,36,141,305,70,9,99,98,827,51,22.74
Mike James,Brooklyn Nets,236,34,92,11,31,21,27,3,29,54,6,1,20,10,100,13,15.3
Mike Muscala,Oklahoma City Thunder,648,119,267,68,184,33,36,19,113,28,8,11,21,54,339,35,17.91
Mike Scott,Philadelphia 76ers,851,76,211,53,155,8,12,11,109,40,24,14,19,72,213,51,8.55
Miles Bridges,Charlotte Hornets,1935,313,622,116,290,98,113,81,316,147,44,52,106,143,840,66,17.69
Mitchell Robinson,New York Knicks,852,115,176,0,0,26,53,113,139,17,35,45,26,86,256,31,18.78
Miye Oni,Utah Jazz,521,35,99,30,88,5,6,23,61,28,11,8,16,61,105,54,7.74
Mo Bamba,Orlando Magic,723,142,301,38,118,45,66,76,189,35,14,58,36,87,367,46,22.39
Monte Morris,Denver Nuggets,1197,186,387,51,134,58,73,11,85,150,34,13,34,48,481,47,16.48
Montrezl Harrell,Los Angeles Lakers,1580,375,603,0,10,181,256,158,270,73,46,49,74,128,931,69,26.05
Moritz Wagner,Boston Celtics,62,4,14,2,6,1,2,3,16,6,0,1,9,10,11,9,0.41
Moritz Wagner,Orlando Magic,285,38,93,16,43,29,33,11,43,12,4,9,13,36,121,11,13.84
Moritz Wagner,Washington Wizards,374,62,122,13,42,41,52,13,60,32,22,8,21,62,178,25,19.12
Moses Brown,Oklahoma City Thunder,920,146,268,0,0,78,126,154,229,10,31,47,43,93,370,43,21.52
Mychal Mulder,Golden State Warriors,765,119,265,85,214,14,22,8,52,26,12,12,16,56,337,60,13.95
Myles Turner,Indiana Pacers,1456,206,432,69,206,111,142,63,243,48,40,159,67,165,592,47,18.3
Naji Marshall,New Orleans Pelicans,698,82,209,29,83,53,75,15,133,88,26,10,38,58,246,32,14.26
Nassir Little,Portland Trail Blazers,644,78,167,28,80,36,45,32,96,23,5,13,18,51,220,48,13.3
Nate Darling,Charlotte Hornets,26,2,7,2,7,3,3,1,0,1,0,1,1,1,9,7,10.07
Nate Hinton,Dallas Mavericks,93,15,42,4,19,7,10,1,8,8,7,2,5,8,41,21,12.78
Nathan Knight,Atlanta Hawks,280,37,100,6,33,44,55,27,45,8,9,10,15,22,124,33,16.24
Naz Reid,Minnesota Timberwolves,1348,304,581,61,174,115,166,82,240,72,34,76,69,179,784,70,22.28
Nemanja Bjelica,Miami Heat,158,20,46,10,27,5,9,5,22,20,7,3,5,20,55,11,15.61
Nemanja Bjelica,Sacramento Kings,442,69,150,17,58,32,42,24,76,49,8,2,28,48,187,26,15.53
Nerlens Noel,New York Knicks,1543,137,223,0,3,50,70,142,266,46,70,141,65,176,324,64,15.67
Nic Claxton,Brooklyn Nets,597,90,145,1,5,31,64,43,123,28,23,40,18,68,212,32,19.35
Nick Richards,Charlotte Hornets,59,4,9,0,1,7,11,4,7,2,0,0,3,7,15,18,7.5
Nickeil Alexander-Walker,New Orleans Pelicans,1008,192,458,76,219,48,66,13,131,102,47,22,69,88,508,46,15.9
Nico Mannion,Golden State Warriors,360,39,114,22,60,23,28,6,40,70,16,1,31,29,123,30,12.53
Nicolas Batum,Los Angeles Clippers,1834,191,412,110,272,48,58,50,266,148,69,37,53,102,540,67,14.75
Nicolò Melli,Dallas Mavericks,322,31,82,16,48,13,18,17,48,19,5,2,5,30,91,23,11.17
Nicolò Melli,New Orleans Pelicans,243,15,59,7,37,6,7,12,45,25,9,1,7,28,43,22,7.62
Nikola Jokić,Denver Nuggets,2488,732,1293,92,237,342,394,205,575,599,95,48,222,192,1898,72,36.03
Nikola Vučević,Chicago Bulls,847,230,488,59,152,40,46,59,241,102,23,20,43,58,559,26,26.63
Nikola Vučević,Orlando Magic,1499,436,908,117,288,91,110,87,430,167,42,28,83,79,1080,44,27.99
Noah Vonleh,Brooklyn Nets,11,0,3,0,2,0,0,0,1,1,0,0,2,2,0,4,-19.12
Norman Powell,Portland Trail Blazers,928,156,352,53,147,95,108,23,66,52,35,10,42,62,460,27,16.46
Norman Powell,Toronto Raptors,1278,282,566,118,269,141,163,19,107,77,47,8,77,98,823,42,21.42
Norvel Pelle,Brooklyn Nets,28,3,7,0,0,0,0,3,4,0,0,3,3,9,6,3,2.81
Norvel Pelle,New York Knicks,52,5,7,0,0,1,2,2,9,1,1,6,0,4,11,9,16.22
Norvel Pelle,Sacramento Kings,4,0,1,0,0,3,4,1,0,1,0,0,0,1,3,1,34.49
OG Anunoby,Toronto Raptors,1435,249,519,104,261,80,102,54,183,94,66,32,75,114,682,43,18.38
Obi Toppin,New York Knicks,685,104,209,26,85,19,26,26,112,29,17,15,23,55,253,62,14.46
Onyeka Okongwu,Atlanta Hawks,599,96,149,0,3,36,57,62,101,18,23,33,29,100,228,50,18.74
Oshae Brissett,Indiana Pacers,521,73,151,33,78,50,65,29,86,18,19,20,10,32,229,21,20.55
Otto Porter Jr.,Chicago Bulls,538,89,202,38,95,31,37,28,110,50,12,4,25,37,247,25,18.19
Otto Porter Jr.,Orlando Magic,67,9,25,1,9,5,5,0,14,5,4,0,0,4,24,3,14.3
P.J. Tucker,Houston Rockets,959,48,131,27,86,18,23,33,115,45,29,18,33,91,141,32,6.76
P.J. Tucker,Milwaukee Bucks,396,18,46,13,33,3,5,18,38,16,10,2,7,34,52,20,6.81
P.J. Washington,Charlotte Hornets,1955,302,686,112,290,108,145,93,325,161,69,79,128,171,824,64,16.37
PJ Dozier,Denver Nuggets,1088,148,355,47,149,42,66,35,147,92,31,22,46,86,385,50,12.7
Pascal Siakam,Toronto Raptors,2006,437,961,73,246,249,301,95,310,250,64,37,130,174,1196,56,21.57
Pat Connaughton,Milwaukee Bucks,1578,168,387,101,272,31,40,63,269,81,49,23,33,99,468,69,13.72
Patrick Beverley,Los Angeles Clippers,833,93,220,56,141,36,45,29,90,76,29,28,34,108,278,37,13.79
Patrick McCaw,Toronto Raptors,33,1,1,0,0,3,3,1,2,4,2,0,0,6,5,5,13.29
Patrick Patterson,Los Angeles Clippers,582,72,165,40,112,13,17,19,56,29,14,8,11,45,197,38,12.74
Patrick Williams,Chicago Bulls,1982,255,528,54,138,91,125,66,261,99,64,46,98,126,655,71,12.74
Patty Mills,San Antonio Spurs,1683,252,611,161,429,71,78,18,98,162,42,3,66,81,736,68,14.44
Paul George,Los Angeles Clippers,1825,445,953,171,416,198,228,45,314,280,62,24,179,132,1259,54,24.28
Paul Millsap,Denver Nuggets,1166,191,401,49,143,71,98,76,186,98,51,36,51,111,502,56,18.97
Paul Reed,Philadelphia 76ers,179,42,78,0,6,4,8,30,31,12,10,13,12,29,88,26,23.78
Paul Watson,Toronto Raptors,294,38,82,30,64,5,8,4,41,17,6,3,9,36,111,27,13.45
Payton Pritchard,Boston Celtics,1265,184,418,102,248,40,45,33,125,120,37,9,53,104,510,66,14.77
Precious Achiuwa,Miami Heat,737,124,228,0,1,56,110,73,135,29,20,28,43,91,304,61,16.64
Quinn Cook,Cleveland Cavaliers,95,17,42,6,13,3,3,2,10,13,3,0,4,8,43,7,14.91
Quinn Cook,Los Angeles Lakers,61,12,26,5,13,4,5,0,5,5,1,1,3,2,33,16,17.25
Quinndary Weatherspoon,San Antonio Spurs,120,16,35,1,6,13,16,3,8,8,8,2,10,18,46,20,11.7
R.J. Hampton,Denver Nuggets,233,25,60,5,18,9,12,10,40,14,5,2,11,22,64,25,9.61
R.J. Hampton,Orlando Magic,658,111,253,22,69,46,70,19,110,73,16,8,42,39,290,26,15.07
RJ Barrett,New York Knicks,2511,467,1060,124,309,206,276,68,346,217,53,20,139,188,1264,72,15.83
Rajon Rondo,Atlanta Hawks,403,44,110,17,45,1,2,4,51,95,19,2,39,25,106,27,12.09
Rajon Rondo,Los Angeles Clippers,366,51,105,19,44,15,15,14,41,104,18,2,40,28,136,18,19.46
Raul Neto,Washington Wizards,1403,209,447,64,164,75,85,28,128,146,73,6,53,109,557,64,16.21
Ray Spalding,Houston Rockets,19,2,4,0,1,0,2,2,2,0,0,2,3,3,4,2,1.38
